abakus;kulram
abbreviera;förkorta
abdikera;avgå
abdikera;avsäga sig tronen
abnorm;missbildad
abnorm;onaturlig
abnorm;onormal
abnormitet;avvikelse
abonnent;prenumerant
abonnera;boka
abonnera;prenumerera
abrupt;plötslig
abrupt;plötsligt
abrupt;tvärt
absolut;bestämt
absolut;definitiv
absolut;definitivt
absolut;exakt
absolut;fullkomlig
absolut;fullkomligt
absolut;helt
absolut;otvetydig
absolut;otvivelaktigt
absolut;ovillkorlig
absolut;ovillkorligen
absolut;precis
absolut;prompt
absolut;självklart
absolut;säkert
absolut;total
absolut;tveklöst
absolut;tvärsäkert
absolut;verkligen
absorbera;uppta
absorberad;uppslukad
abstinens;sug
abstrakt;ogripbart
absurd;befängd
absurd;helkonstig
absurd;knäpp
absurd;löjlig
absurd;orimlig
absurd;sjuk
acceleration;fartökning
acceleration;ökning
accelerera;öka
accent;brytning
accent;uttal
accentuera;betona
accentuera;framhålla
accentuera;markera
accentuera;understryka
accentuering;betoning
accept;godkännande
acceptabel;dräglig
acceptabel;duglig
acceptabel;godkänd
acceptabel;godtagbar
acceptabel;gångbar
acceptabel;hyfsad
acceptabel;rimlig
acceptabelt;ok
acceptans;godkännande
acceptera;godkänna
acceptera;godta
acceptera;godtaga
acceptera;ja
acceptera;okej
acceptera;tillåta
accepterande;godkännande
access;tillgänglighet
access;tillgång
access;tillträde
access;åtkomst
accessoarer;smycken
acklimatisera;anpassa
acklimatisera;vänja sig
ackumulation;ansamling
ackumulera;hopa
ackumulera;lagra
ackumulera;samla
ackurat;exakt
ackurat;precis
acne;finnar
actionfilm;actionrulle
actionrulle;actionfilm
adaptation;anpassning
addera;lägga ihop
addera;lägga till
addera;summera
addera;tillsätta
addera;tillägga
adderande;kumulativ
adekvat;fullgod
adekvat;korrekt
adekvat;likvärdig
adekvat;lämplig
adekvat;passande
adekvat;relevant
adekvat;riktig
adel;aristokrati
adel;överklass
adelsman;aristokrat
adelsman;baron
adelsman;friherre
adelsman;ädling
adept;elev
aderton;arton
adhesion;vidhäftning
adjö;farväl
adjö;hej då
administration;administrering
administrator;administratör
administratör;administrator
administratör;förvaltare
administrera;handha
administrera;hantera
administrera;ordna
administrera;sköta
administrering;administration
administrering;förvaltning
adressat;mottagare
advokat;försvarare
advokat;jurist
advokat;skurk
affektera;beröra
affektera;påverka
affekterad;påverkad
affekteras;beröra
affisch;anslag
affisch;plakat
affisch;plansch
affisch;poster
affär;butik
affär;förhållande
affär;handelsbod
affär;rörelse
affär;shop
affärer;handel
affärsmässig;kommersiell
affärsrörelse;affärsverksamhet
affärsverksamhet;affärsrörelse
affärsverksamhet;firma
affärsverksamhet;företag
affärsverksamhet;handel
affärsverksamhet;rörelse
afton;kväll
aftonmål;kvällsmat
aftonmål;kvällsmål
aftonmål;kvällsmåltid
aftonmål;kvällsvard
aftonmål;middag
aftonmål;middagsmål
aftonmål;supé
aga;ge stryk
aga;misshandel
aga;misshandla
aga;prygla
aga;slå
aga;smisk
aga;smiska
aga;tukt
agenda;dagordning
agenda;program
agenda;schema
agent;ombud
agent;representant
agent;spion
agentur;byrå
agentur;förmedling
agera;handla
agera;handling
agera;ingripa
agera;spela
agera;uppträda
agera;verka
agerande;handlande
agg;fiendskap
agg;groll
agg;hat
agg;illvilja
agglomeration;tätort
aggression;ilska
aggressiv;argsint
aggressiv;stridslysten
aggressiv;våldsam
agn;bete
agoni;dödsångest
akademi;skola
akne;finne
akt;ceremoni
akt;handling
akt;nummer
akta;respektera
akta;värna
akta;vörda
aktad;värderad
akter;bakdel
akter;dossier
akter;häck
aktie;andel
aktie;värdepapper
aktieinnehav;aktiepost
aktiepost;aktieinnehav
aktier;värdepapper
aktieägare;andelsägare
aktion;handling
aktiv;engagerad
aktiv;livlig
aktiv;operativ
aktiv;verksam
aktivitet;förehavande
aktivitet;rörelse
aktivitet;sysselsättning
